text,paraphrases,category,source
It happened to me when I was 16 after a bone cancer diagnosis and amputation (the cancer later spread to my lung and caused a lung to be removed as well).,"['At the age of 16, I experienced it after being diagnosed with bone cancer and undergoing amputation, which later spread to my lung and resulted in the removal of one lung.', 'When I was 16, I went through it following a diagnosis of bone cancer and amputation, which eventually led to the removal of one of my lungs due to the cancer spreading.', 'After being diagnosed with bone cancer and having my leg amputated at the age of 16, I experienced it again when the cancer spread to my lung and required the removal of one lung.', 'It occurred to me at 16 years old after being diagnosed with bone cancer and having my leg amputated, which later spread to my lung and necessitated the removal of one lung.', 'Following a bone cancer diagnosis and amputation at the age of 16, I experienced it again when the cancer spread to my lung and resulted in the removal of one lung.']",sentence,cnn_news
"As I looked down in the recovery room to where my right leg used to be, all I saw was a short stump.","['When I glanced at the spot where my right leg once was in the recovery room, all I saw was a small stump.', 'In the recovery room, I gazed down at the area where my right leg had been and saw only a brief stump.', 'As I peered down at the recovery room floor where my right leg had been, I only saw a stubby stump.', 'Looking down at the recovery room floor where my right leg had been, I saw nothing but a short stump.', 'In the recovery room, I observed a short stump where my right leg had been.']",sentence,cnn_news
"This is frightening for sure, and only one of the things you're dealing with after an amputation.","[""After an amputation, you're faced with several challenges, and one of them is undoubtedly scary."", ""Dealing with fear is just one of the many obstacles you'll encounter after losing a limb."", ""Fear is a natural response to amputation, and it's just one of the many issues you'll have to confront."", ""Losing a limb can be terrifying, and it's just one of the many difficulties you'll have to face."", ""Coping with fear is just one of the many challenges you'll have to overcome after undergoing an amputation.""]",sentence,cnn_news
"Luckily perhaps, your entire being is consumed just with healing; the bigger issues come later.","['Fortunately, your sole focus is on healing, while the larger concerns can wait.', ""It's a stroke of luck that you're entirely dedicated to healing, with the more significant problems to be addressed later."", 'Your complete attention is on healing, which may be a blessing, as the more pressing issues can be dealt with later.', ""It's fortunate that you're entirely consumed with healing, leaving the more significant issues to be tackled at a later time."", 'Your entire being is devoted to healing, which is a fortunate circumstance, as the bigger issues can be addressed later.']",sentence,cnn_news
"First thing to deal with is massive physical pain from the surgery, and it will be worse because of the shrapnel packed bombs.","['The initial concern is the severe physical discomfort resulting from the operation, which will be exacerbated by the presence of shrapnel-filled explosives.', 'The primary issue to address is the intense bodily agony caused by the surgery, which will be heightened by the bombs containing shrapnel.', 'The foremost challenge is managing the immense physical suffering caused by the surgery, which will be compounded by the bombs filled with shrapnel.', 'The first priority is to alleviate the significant physical pain resulting from the operation, which will be worsened by the bombs containing shrapnel.', 'The main focus is on addressing the severe physical discomfort caused by the surgery, which will be intensified by the shrapnel-packed bombs.']",sentence,cnn_news
The explosive force traumatizes the tissues and the fragments injected into the body cause collateral damage.,"['The tissues are traumatized by the explosive force and the fragments that enter the body cause additional harm.', 'The explosive force causes tissue trauma and the fragments that enter the body result in collateral damage.', 'Tissue trauma is caused by the explosive force and the fragments that enter the body cause collateral damage.', 'Collateral damage is caused by the fragments that enter the body due to tissue trauma caused by the explosive force.', 'The fragments that enter the body due to the explosive force cause collateral damage and traumatize the tissues.']",sentence,cnn_news
"Modern medicine does well with pain management, so this phase will, luckily, pass quickly.","['Pain management is effectively handled by modern medicine, hence this phase will pass quickly, fortunately.', 'Fortunately, modern medicine is proficient in pain management, so this phase will pass quickly.', 'This phase will pass quickly, fortunately, as modern medicine is adept at managing pain.', 'Luckily, modern medicine is capable of managing pain well, so this phase will pass quickly.', 'Pain management is efficiently handled by modern medicine, hence this phase will pass quickly, fortunately.']",sentence,cnn_news
"For the new amputee, challenges come fast and furious, but so does the natural ""fight"" that is in all humans.","['Challenges arise quickly and frequently for new amputees, but so does the innate fighting spirit present in all humans.', 'The newly amputated face a barrage of challenges, but they also possess the inherent drive to fight that is characteristic of all humans.', 'The challenges that confront new amputees are numerous and rapid, but so is the natural inclination to fight that is present in all people.', 'New amputees are met with a flurry of challenges, but they also possess the inherent fighting instinct that is present in all human beings.', 'The challenges that new amputees face come thick and fast, but so does the natural ""fight"" that is present in all humans.']",sentence,cnn_news
My very first challenge was trying to stand on one leg.,"['The initial obstacle I faced was attempting to balance on a single leg.', 'Standing on one leg was the first difficulty I encountered.', 'The first challenge I encountered was trying to remain upright on one leg.', 'My earliest hurdle was attempting to stand on just one leg.', 'The primary difficulty I faced was trying to maintain my balance on a single leg.']",sentence,cnn_news
"The body and the mind do not adjust immediately to major changes like the loss of a 25 pound leg, so balance while standing up is elusive.","['After losing a 25 pound leg, it takes time for the body and mind to adapt, making it difficult to maintain balance while standing.', ""Major changes such as the loss of a 25 pound leg can make it challenging to maintain balance while standing due to the body and mind's slow adjustment."", 'The loss of a 25 pound leg can cause difficulty in maintaining balance while standing as the body and mind take time to adapt to such significant changes.', 'Adjusting to major changes like the loss of a 25 pound leg takes time for the body and mind, resulting in elusive balance while standing.', 'Elusive balance while standing can be attributed to the slow adjustment of the body and mind to major changes such as the loss of a 25 pound leg.']",sentence,cnn_news
But it will come and that is a first little victory.,"['However, it is inevitable and that marks a small initial triumph.', 'Nonetheless, it is bound to happen and that signifies a minor initial success.', 'Nevertheless, it will occur and that denotes a slight initial achievement.', 'Yet, it will transpire and that represents a modest initial win.', 'Still, it will materialize and that indicates a minor initial accomplishment.']",sentence,cnn_news
It's the first of many little accomplishments that begin to build up one's zeroed-out self-confidence.,"[""The initial step towards rebuilding one's depleted self-assurance is to achieve small victories."", ""The first of numerous minor achievements that contribute to the development of one's shattered self-esteem."", ""The beginning of a series of small successes that gradually restore one's confidence from rock bottom."", ""The first of several small accomplishments that help to rebuild one's self-confidence from scratch."", ""The first of many little triumphs that contribute to the reconstruction of one's self-esteem from zero.""]",sentence,cnn_news
Our bodies heal and adapt well--the mind is a bigger challenge.,"['While our bodies have a natural ability to heal and adjust, the mind poses a greater obstacle.', ""The mind presents a greater challenge compared to the body's natural healing and adaptation abilities."", 'Our bodies are adept at healing and adapting, but the mind is a more difficult task.', ""The mind is a more significant challenge than the body's natural healing and adaptation capabilities."", 'Although our bodies can heal and adapt effectively, the mind is a more complex issue to tackle.']",sentence,cnn_news
"Someone newly disabled naturally has thoughts of ""why me?""","['Naturally, individuals who have recently become disabled may question ""why me?"".', 'It is common for those who have become disabled to have thoughts of ""why me?"".', 'Newly disabled individuals often have thoughts of ""why me?"".', 'It is natural for someone who has become disabled to question ""why me?"".', 'Those who have recently become disabled may naturally wonder ""why me?"".']",sentence,cnn_news
"as well as feelings of loss, despair and even depression.","['Along with emotions of grief, hopelessness, and melancholy.', 'In addition to sentiments of sorrow, despondency, and sadness.', 'Besides sensations of bereavement, discouragement, and dejection.', 'Together with impressions of mourning, misery, and gloom.', 'Including sentiments of lamentation, disheartenment, and melancholia.']",sentence,cnn_news
"As John Green wrote in a wonderful book called ""The Fault in Our Stars,"" about a boy who lost his leg to cancer, ""You don't get to choose if you get hurt in this world.""","['In the book ""The Fault in Our Stars"" by John Green, a character who lost his leg to cancer said, ""You don\'t have a say in whether or not you get hurt in this world.""', 'John Green\'s ""The Fault in Our Stars"" features a character who lost a leg to cancer and stated, ""You don\'t get to decide if you get hurt in this world.""', '""The Fault in Our Stars"" by John Green includes a character who lost a leg to cancer and expressed, ""You don\'t have control over whether or not you get hurt in this world.""', 'A character in John Green\'s ""The Fault in Our Stars"" who lost a leg to cancer said, ""You don\'t get to choose if you get hurt in this world.""', 'In ""The Fault in Our Stars"" by John Green, a character who lost a leg to cancer stated, ""You don\'t have a choice in whether or not you get hurt in this world.""']",sentence,cnn_news
Bad things happen and all we can do is adapt and move forward.,"['Unfortunate events occur and our only option is to adjust and progress.', 'Adverse circumstances arise and our sole recourse is to acclimate and advance.', 'Negative occurrences take place and our singular choice is to accommodate and proceed.', 'Undesirable situations arise and our exclusive solution is to conform and move ahead.', 'Unfavorable events happen and our primary action is to modify and continue.']",sentence,cnn_news
Terrorists make us lose sight of the real dangers .,"['The real dangers are obscured by the actions of terrorists.', 'Terrorists distract us from the actual threats.', 'The presence of terrorists causes us to overlook genuine hazards.', 'The true risks are overshadowed by the activities of terrorists.', 'Terrorists divert our attention from the genuine perils.']",sentence,cnn_news
"We are pretty attached to all our body parts, so of course there is a sense of loss.","['All our body parts are dear to us, hence we feel a sense of loss.', 'We have an emotional connection with our body parts, which leads to a feeling of loss.', 'Our attachment to our body parts makes us experience a sense of loss.', 'Naturally, we feel a sense of loss as we are emotionally attached to all our body parts.', 'The emotional bond we share with our body parts results in a feeling of loss.']",sentence,cnn_news
People don't study ahead for how they will deal with every possible eventuality that affects the trajectory of their lives.,"['Individuals fail to prepare for all potential circumstances that may impact the course of their lives.', 'People do not anticipate and plan for every possible situation that could alter their life path.', ""Individuals do not proactively plan for all eventualities that may affect their life's direction."", 'People do not prepare in advance for every possible event that could change the course of their lives.', 'Individuals do not plan ahead for all potential circumstances that may impact the trajectory of their lives.']",sentence,cnn_news
This new horrible reality of being disabled is a shock.,"['The shock of being disabled is a new and terrible reality.', 'The reality of being disabled is a shocking and unexpected experience.', 'Being disabled is a new and terrible reality that comes as a shock.', 'The shock of disability is a new and terrible reality to face.', 'The reality of being disabled is a shocking and unexpected revelation.']",sentence,cnn_news
There is fear of the unknown.,"['The unknown is causing fear.', 'Fear is present due to the unknown.', 'The unknown is instilling fear.', 'Fear is arising from the unknown.', 'The unknown is a source of fear.']",sentence,cnn_news
And it is easy to imagine how this leads to the tar-pit of self-pity.,"[""It's not hard to envision how this results in the quagmire of self-pity."", 'One can easily picture how this leads to the swamp of self-pity.', ""It's simple to imagine how this culminates in the mire of self-pity."", ""It's not difficult to see how this leads to the bog of self-pity."", 'One can easily understand how this results in the quicksand of self-pity.']",sentence,cnn_news
But that is not what happens to most people and it won't happen with the Boston Marathon bombing survivors.,"['The majority of people do not experience this, and neither will the survivors of the Boston Marathon bombing.', 'Most individuals do not encounter this situation, and the Boston Marathon bombing survivors will not either.', 'This is not the typical experience for most people, and it will not be the case for the survivors of the Boston Marathon bombing.', 'The Boston Marathon bombing survivors will not undergo the same fate as most people.', 'The Boston Marathon bombing survivors will not face the same outcome as the majority of individuals.']",sentence,cnn_news
"Compared with the primitive prosthetics of my youth, modern prosthetics are technological marvels.","['Modern prosthetics are technological wonders when compared to the basic prosthetics of my youth.', 'The technological advancements in prosthetics have made them far superior to the primitive ones I used in my youth.', 'In contrast to the rudimentary prosthetics of my youth, modern prosthetics are technological marvels.', 'The technological advancements in prosthetics have made them a far cry from the primitive ones I used in my youth.', 'When compared to the basic prosthetics of my youth, modern prosthetics are technological marvels.']",sentence,cnn_news
"It is surprising to most people, but prosthetics' most important role is not ambulation: They are a social device to ""level the playing field"" and allow others to see you as not different.","[""Prosthetics' primary function is not to aid in walking, but rather to serve as a social tool that promotes equality and eliminates differences."", 'Contrary to popular belief, prosthetics are not primarily designed for mobility, but rather to act as a social equalizer that helps people see beyond physical differences.', 'Most people are surprised to learn that prosthetics are not primarily used for walking, but rather as a means of promoting social inclusion and reducing stigmatization.', 'While prosthetics are often associated with mobility, their most important role is actually to serve as a social device that helps people see beyond physical differences and treat others as equals.', 'Despite common misconceptions, prosthetics are not primarily designed to aid in ambulation, but rather to act as a social tool that promotes inclusivity and reduces discrimination.']",sentence,cnn_news
"Today's computerized knees keep people from falling (with mine, I have gone seven years without a fall; before that, for 33 years it happened once a week).","['Computerized knees of today prevent people from falling, as I have not fallen in seven years with mine, whereas before, I used to fall once a week for 33 years.', 'With the help of computerized knees, people can avoid falling, as I have not fallen in seven years with mine, whereas before, I used to fall once a week for 33 years.', 'People can avoid falling with the use of computerized knees, as I have not fallen in seven years with mine, whereas before, I used to fall once a week for 33 years.', 'The use of computerized knees can prevent people from falling, as I have not fallen in seven years with mine, whereas before, I used to fall once a week for 33 years.', 'Computerized knees are effective in preventing falls, as I have not fallen in seven years with mine, whereas before, I used to fall once a week for 33 years.']",sentence,cnn_news
"They cut energy use for walking in half, and allow normal stair walking.","['They reduced energy consumption for walking by 50% while maintaining regular stair walking.', 'They halved the amount of energy required for walking and enabled regular stair climbing.', 'They decreased the energy expenditure for walking by 50% and permitted normal stair ascent.', 'They lowered the energy usage for walking by half and facilitated regular stair climbing.', 'They diminished the energy consumption for walking by 50% and enabled normal stair walking.']",sentence,cnn_news
But there is a down side.,"['However, there is a negative aspect.', 'On the other hand, there is a disadvantage.', 'Nevertheless, there is a drawback.', 'Nonetheless, there is a downside.', 'Despite this, there is a downside.']",sentence,cnn_news
"A computerized above-knee prosthesis is between $50,000 and $60,000, of which the best insurance companies typically pay about 80%.","['The cost of a computerized above-knee prosthesis ranges from $50,000 to $60,000, with top insurance companies covering around 80% of the expense.', 'Typically, the price of a computerized above-knee prosthesis falls between $50,000 and $60,000, with the majority of leading insurance providers covering approximately 80% of the cost.', 'A computerized above-knee prosthesis can cost anywhere from $50,000 to $60,000, with the best insurance companies usually covering around 80% of the total cost.', 'The expense of a computerized above-knee prosthesis is usually between $50,000 and $60,000, with top insurance companies covering approximately 80% of the cost.', 'Typically, the cost of a computerized above-knee prosthesis is around $50,000 to $60,000, with the majority of leading insurance providers covering roughly 80% of the expense.']",sentence,cnn_news
"That can be $12,000 out of pocket.","['You may have to pay $12,000 yourself.', 'It could cost you $12,000 in personal expenses.', 'You might be responsible for $12,000 in out-of-pocket costs.', 'The total bill could come to $12,000 that you have to pay.', 'You could end up spending $12,000 from your own pocket.']",sentence,cnn_news
This is where we can help the new Boston Marathon amputees.,"['Our assistance can be extended to the new amputees of the Boston Marathon at this location.', 'The new amputees of the Boston Marathon can receive our help at this place.', 'This is the place where we can offer our aid to the new amputees of the Boston Marathon.', 'The new amputees of the Boston Marathon can find our support at this spot.', 'Our aid is available for the new amputees of the Boston Marathon at this particular location.']",sentence,cnn_news
Opinion: Getting on with life after terror hits .,"['Coping with life after a terrorist attack.', 'Moving forward after experiencing terrorism.', 'Dealing with the aftermath of a terrorist incident and resuming daily life.', 'Overcoming the impact of terrorism and continuing with life.', 'Adjusting to life after being affected by terrorism.']",sentence,cnn_news
By far the biggest long-term issue for anyone knocked down in life is the loss of self-esteem.,"['The most significant long-term problem for those who have been knocked down in life is the depletion of their self-esteem.', 'The loss of self-esteem is undoubtedly the most significant long-term challenge for anyone who has been knocked down in life.', 'Anyone who has been knocked down in life will undoubtedly face the most significant long-term issue of losing their self-esteem.', 'The most significant long-term concern for those who have been knocked down in life is the loss of their self-esteem.', 'The depletion of self-esteem is the most significant long-term issue for anyone who has been knocked down in life.']",sentence,cnn_news
"Humans require strong self-esteem for a healthy, happy life.","['A healthy and happy life for humans necessitates a robust sense of self-worth.', 'Strong self-esteem is essential for humans to lead a healthy and contented life.', 'Humans need a solid self-esteem foundation to maintain a healthy and joyful existence.', 'A healthy and happy life for humans is dependent on a sturdy sense of self-esteem.', 'Robust self-esteem is a prerequisite for humans to live a healthy and fulfilling life.']",sentence,cnn_news
"As Gloria Steinem said, ""Self-esteem isn't everything, it's just that there is nothing without it.""","['According to Gloria Steinem, self-esteem may not be everything, but it is essential.', 'Gloria Steinem once stated that without self-esteem, there is nothing.', 'Self-esteem, as Gloria Steinem put it, is not everything, but it is indispensable.', 'Gloria Steinem famously said that there is nothing without self-esteem, even if it is not everything.', 'Without self-esteem, as Gloria Steinem pointed out, there is nothing, even though it is not everything.']",sentence,cnn_news
Building back the lost self-esteem is the hardest and most important challenge for the newly disabled.,"['The most crucial and difficult task for the recently disabled is to restore their self-esteem.', 'The newly disabled face the toughest and most significant obstacle of rebuilding their self-confidence.', 'The hardest and most vital challenge for those who have become disabled is to regain their lost self-esteem.', 'Restoring self-esteem is the most important and challenging task for individuals who have recently become disabled.', 'The most challenging and essential objective for the newly disabled is to rebuild their self-esteem.']",sentence,cnn_news
I found that sports were key.,"['Sports played a crucial role, according to my findings.', 'My research revealed that sports were essential.', 'It was evident from my investigation that sports were pivotal.', 'My discovery indicated that sports were fundamental.', 'According to my observations, sports were a critical factor.']",sentence,cnn_news
"I liked sports and, of course, physical activity was good for me.","['Engaging in sports and physical activity was beneficial for me, as I enjoyed them.', 'Sports were enjoyable for me, and naturally, physical activity was advantageous.', 'I found pleasure in sports, and it was evident that physical activity was advantageous for me.', 'Participating in sports was enjoyable, and it was clear that physical activity was beneficial for me.', 'I derived pleasure from sports, and it was evident that physical activity was advantageous for my well-being.']",sentence,cnn_news
You can't help but get good at it.,"[""It's impossible not to become skilled at it."", ""You're bound to become proficient at it."", ""It's inevitable that you'll become adept at it."", ""You'll naturally become good at it."", ""It's certain that you'll develop expertise in it.""]",sentence,cnn_news
That makes you want to work even harder.,"['It motivates you to put in more effort.', 'It inspires you to work with greater determination.', 'It encourages you to strive even harder.', 'It drives you to work more intensely.', 'It spurs you on to work harder than before.']",sentence,cnn_news
"You keep getting better and better at it and then others stop saying you are pretty good, considering you only have one leg, and start respecting you.","['As you improve, others begin to respect you instead of just acknowledging your ability despite having one leg.', 'Your increasing skill level leads to others recognizing and respecting your abilities, rather than just acknowledging them due to your physical limitation.', 'With each improvement, others begin to respect your abilities rather than just acknowledging them as impressive given your physical limitation.', 'As you continue to excel, others begin to respect your abilities rather than just acknowledging them as impressive given your physical limitation.', 'Your growing proficiency leads to others respecting your abilities rather than just acknowledging them as impressive given your physical limitation.']",sentence,cnn_news
You've won and your self-esteem rises and takes your happiness up with it.,"['Your victory boosts your self-confidence and happiness.', 'Winning elevates your self-worth and brings joy.', 'Your self-esteem increases as you win, bringing happiness along.', 'Triumph leads to a rise in self-esteem and happiness.', 'Your happiness is lifted by the surge in self-esteem that comes with winning.']",sentence,cnn_news
"I started with skiing, which at first was more ""turn, fall, get up, turn, fall, get up"" than swooshing down the slopes.","['Initially, skiing was more about repeatedly falling and getting up than smoothly gliding down the slopes.', 'At the beginning, skiing involved more stumbling and standing up than gracefully skiing down the slopes.', 'My early skiing experiences were characterized by frequent falls and getting back up, rather than effortless skiing down the slopes.', 'Skiing initially involved more tumbling and recovering than smoothly skiing down the slopes.', 'In the beginning, skiing was more about repeatedly turning, falling, and getting up than elegantly swooshing down the slopes.']",sentence,cnn_news
Now I am a double-black diamond (amputee) skier.,"['I am now a skier with a double-black diamond rating, despite being an amputee.', 'Despite my amputation, I have achieved the status of a double-black diamond skier.', 'As an amputee, I have reached the level of a double-black diamond skier.', 'My skiing abilities have earned me the title of a double-black diamond skier, despite my amputation.', 'Despite being an amputee, I have become a double-black diamond skier.']",sentence,cnn_news
I tried biking and every year join a 200-mile bike-a-thon.,"['I attempted cycling and participate in a 200-mile bike-a-thon annually.', 'I gave biking a shot and take part in a 200-mile bike-a-thon every year.', 'I experimented with biking and engage in a 200-mile bike-a-thon annually.', 'I tested out cycling and partake in a 200-mile bike-a-thon each year.', 'I endeavored to bike and involve myself in a 200-mile bike-a-thon every year.']",sentence,cnn_news
"I added swimming and in May will do my 20th ""Alcatraz Sharkfest"" swim across San Francisco Bay.","['I included swimming in my routine and will be completing my 20th ""Alcatraz Sharkfest"" swim in May across San Francisco Bay.', 'I incorporated swimming into my schedule and will be participating in my 20th ""Alcatraz Sharkfest"" swim in May, crossing San Francisco Bay.', 'I introduced swimming into my regimen and will be accomplishing my 20th ""Alcatraz Sharkfest"" swim in May, traversing San Francisco Bay.', 'I integrated swimming into my program and will be achieving my 20th ""Alcatraz Sharkfest"" swim in May, crossing San Francisco Bay.', 'I added swimming to my routine and will be completing my 20th ""Alcatraz Sharkfest"" swim in May, swimming across San Francisco Bay.']",sentence,cnn_news
Crystal legs and snake arms: Artificial limbs as art .,"['Artificial limbs as art: Snake arms and crystal legs.', 'Artistic prosthetics: Limbs made of crystal and arms resembling snakes.', 'The art of prosthetics: Snake-like arms and legs made of crystal.', 'Crystal legs and serpent arms: The beauty of artificial limbs as art.', 'Artistic artificial limbs: Snake arms and legs made of crystal.']",sentence,cnn_news
The natural challenge-response we all have in us is what will be the biggest help to the new amputees.,"['The innate challenge-response mechanism within us will greatly assist new amputees.', 'The inherent ability to respond to challenges is the most significant aid for amputees.', 'The natural inclination to face challenges is the primary support for amputees.', 'The inborn challenge-response system is the most valuable assistance for new amputees.', 'The inherent capacity to tackle challenges is the greatest aid for amputees who are new to amputation.']",sentence,cnn_news
"It goes like this: ""You can't run with one leg.""","['The saying goes, ""You can\'t run with just one leg.""', 'It\'s been said that ""One leg won\'t get you far when running.""', 'The phrase goes, ""Running requires two legs, not one.""', 'The expression goes, ""You need both legs to run, not just one.""', 'It\'s commonly said that ""Running with only one leg is impossible.""']",sentence,cnn_news
"Says the amputee, ""Who says I can't?!""","['The amputee declares, ""Who says I\'m incapable?!""', '""I\'m not limited,"" retorts the amputee.', 'The amputee challenges, ""Why can\'t I do it?!""', '""Don\'t underestimate me,"" asserts the amputee.', 'The amputee questions, ""Why should my amputation hold me back?!""']",sentence,cnn_news
and he or she will be off and running.,"['And they will be up and running.', 'And the person will be on their way.', 'And he or she will start moving quickly.', 'And they will begin their journey.', 'And the individual will be off to the races.']",sentence,cnn_news
"We know that those with so-called disabilities don't fall into the pity tar-pit and in fact, do better than they or anyone around them ever thought possible.","['People with disabilities surpass expectations and avoid being pitied.', ""Those labeled as disabled exceed their own and others' expectations."", 'Individuals with disabilities excel beyond perceived limitations and avoid being pitied.', 'People with so-called disabilities defy expectations and avoid being pitied.', 'Those with disabilities exceed expectations and avoid being trapped in pity.']",sentence,cnn_news
"Some even excel far beyond what they had ever accomplished before they became ""differently abled.""","['Some individuals surpass their previous achievements to a great extent after becoming ""differently abled.""', 'Certain people achieve exceptional success beyond their previous accomplishments after becoming ""differently abled.""', 'A few individuals excel to a remarkable degree beyond their previous achievements after becoming ""differently abled.""', 'Some people achieve outstanding success beyond their previous accomplishments after becoming ""differently abled.""', 'Certain individuals surpass their previous achievements to an extraordinary extent after becoming ""differently abled.""']",sentence,cnn_news
"Richard Bruno studied polio survivors in the '80s and wrote in ""The Polio Paradox,"" ""Polio survivors who were told they would never go to college or get a job became the country's best and brightest.""","['In the 1980s, Richard Bruno examined individuals who had survived polio and stated in his book ""The Polio Paradox"" that those who were once deemed incapable of attending college or securing employment went on to become some of the most successful individuals in the country.', 'Richard Bruno conducted research on polio survivors during the 1980s and noted in his book ""The Polio Paradox"" that those who were previously thought to be unable to pursue higher education or find work ended up becoming some of the most accomplished people in the nation.', '""The Polio Paradox"" by Richard Bruno discusses his study of polio survivors in the 1980s and highlights that individuals who were once told they could not attend college or obtain employment went on to become some of the brightest and most successful individuals in the country.', 'Richard Bruno\'s research on polio survivors during the 1980s, as detailed in ""The Polio Paradox,"" revealed that those who were once considered incapable of pursuing higher education or finding work ended up becoming some of the most accomplished individuals in the nation.', 'In ""The Polio Paradox,"" Richard Bruno examined polio survivors in the 1980s and found that individuals who were previously told they could not attend college or secure employment went on to become some of the most successful people in the country.']",sentence,cnn_news
